Package,LibPath,Version,Priority,Built
ape,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,5.3,NA,3.6.0
askpass,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.1,NA,3.6.0
assertive,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.3-5,NA,3.6.0
assertive.base,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-7,NA,3.6.0
assertive.code,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-3,NA,3.6.0
assertive.data,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-3,NA,3.6.0
assertive.data.uk,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-2,NA,3.6.0
assertive.data.us,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-2,NA,3.6.0
assertive.datetimes,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-2,NA,3.6.0
assertive.files,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-2,NA,3.6.0
assertive.matrices,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-2,NA,3.6.0
assertive.models,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-2,NA,3.6.0
assertive.numbers,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-2,NA,3.6.0
assertive.properties,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-4,NA,3.6.0
assertive.reflection,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-4,NA,3.6.0
assertive.sets,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-3,NA,3.6.0
assertive.strings,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-3,NA,3.6.0
assertive.types,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.0-3,NA,3.6.0
assertthat,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.2.1,NA,3.6.0
backports,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.1.4,NA,3.6.0
base64enc,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.1-3,NA,3.6.0
BH,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.69.0-1,NA,3.6.0
bit,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.1-14,NA,3.6.0
bit64,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.9-7,NA,3.6.0
bitops,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.0-6,NA,3.6.0
blob,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.1.1,NA,3.6.0
bold,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.8.6,NA,3.6.0
broom,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.5.2,NA,3.6.0
callr,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,3.2.0,NA,3.6.0
cellranger,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.1.0,NA,3.6.0
cli,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.1.0,NA,3.6.0
clipr,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.6.0,NA,3.6.0
clisymbols,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.2.0,NA,3.6.0
colorspace,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.4-1,NA,3.6.0
crayon,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.3.4,NA,3.6.0
crul,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.7.4,NA,3.6.0
curl,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,3.3,NA,3.6.0
data.table,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.12.2,NA,3.6.0
DBI,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.0.0,NA,3.6.0
dbplyr,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.4.1,NA,3.6.0
desc,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.2.0,NA,3.6.0
digest,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.6.19,NA,3.6.0
dplyr,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.8.1,NA,3.6.0
ellipsis,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.1.0,NA,3.6.0
evaluate,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.14,NA,3.6.0
fansi,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.4.0,NA,3.6.0
fastmatch,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.1-0,NA,3.6.0
forcats,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,0.4.0,NA,3.6.0
foreach,/home/markus/R/x86_64-pc-linux-gnu-library/3.6,1.4.4,NA,3.6.0
